title,website_url,source,grades_or_ages,prices_mentioned,description
Homeschooling in Virginia,https://heav.org/,HEAV,Grades PreK-12,Free,"Encouraging, equipping, and empowering Virginia homeschool parents and protecting homeschool freedoms for 43 years."
Local Virginia Homeschool Groups,https://heav.org/homeschool-support-group/,HEAV,Grades PreK-12,Free,"A homeschool support group is ready to help you through your homeschool journey. Find a local support group for your needs, near you, now!"
Join or Renew Today,https://heav.org/joinrenew/,HEAV,Grades PreK-12,$45-$500,View the many benefits of membership when you join HEAV (Home Educators Association of Virginia or renew today.
Lifetime Membership,https://heav.org/joinrenew/lifetime-membership/,HEAV,Grades PreK-12,$500,"HEAV lifetime memberships not only receive all the great benefit of our basic membership, but your family gets free annual entry into the convention every year."
2026 Virginia Homeschool Convention | HEAV,https://heav.org/homeschool-convention-new/,HEAV,Grades PreK-12,$69-$129,"The biggest and best Homeschool Convention in Virginia, with 135+ exhibitors, 30+ speakers, College Fair, Special-Needs Conference, and more!"
2026 Virginia Homeschool Convention | HEAV,https://heav.org/convention/,HEAV,Grades PreK-12,$69-$129,"The biggest and best Homeschool Convention in Virginia, with 135+ exhibitors, 30+ speakers, College Fair, Special-Needs Conference, and more!"
Virginia Homeschool Days,https://heav.org/events/virginia-homeschool-days/,HEAV,Grades PreK-12,Contact for pricing,Virginia homeschool days are events that welcome home educators for onsite learning opportunities and field trips!
Day at the Capitol + Home Educator Freedom Rally with Meet & Greet,https://heav.org/events/day-at-the-capitol/,HEAV,Grades PreK-12,Contact for pricing,Experience Day at the Capitol in Richmond. HEAV's annual Homeschool Day at the Capitol will sure to change student's thinking on state affairs.
Virginia Field Trips,https://heav.org/events/field-trips/virginia-is-for-field-trips/,HEAV,Grades PreK-12,Free,"With Virginia's ocean and the mountains, its Colonial and Civil War history, and its proximity to the nation’s capital, intriguing and worthwhile field trips abound."
Notice Of Intent to Homeschool,https://heav.org/notice-of-intent/,HEAV,Grades PreK-12,Free,"Learn how to file your Virginia homeschool Notice of Intent—what to include, deadlines, and how to comply with state law. Accurate guidance from HEAV."
Homeschool law compliance,https://heav.org/homeschool-law-compliance/,HEAV,Grades PreK-12,Free,Avoiding over-compliance with homeschool law is one way we can protect our homeschool rights and help prevent increased regulations.
Testing,https://heav.org/virginia-homeschool-laws/testing/,HEAV,Grades PreK-12,Free,"What does the law say about end-of-year, homeschool testing? Who must be tested? Find the answers to these and many other questions in this informative FAQ"
