title,website_url,source,grades_or_ages,prices_mentioned,description
Journey Homeschool Academy,https://journeyhomeschoolacademy.com/tos/,Journey Homeschool Academy,Grades 1-12,$97-$329,Christian video-based homeschool science academy with expert-led online lessons and hands-on labs for elementary through high school. Family pricing covers the immediate household.
Experience Astronomy Elementary,https://journeyhomeschoolacademy.com/experience-astronomy-elementary/,Journey Homeschool Academy,Grades 1-5,$149,Basic astronomy curriculum with video lessons for elementary students ages 6-11. Complete family program with hands-on activities designed to spark excitement about science.
Experience Biology Elementary,https://journeyhomeschoolacademy.com/experience-biology-elementary/,Journey Homeschool Academy,Grades 1-5,$149,Hands-on elementary biology course for grades 1-5 with engaging videos and activities that keep young students excited about life science.
Earth Science Explored Elementary,https://journeyhomeschoolacademy.com/earth-science-explored-elementary-students-age-6-11/,Journey Homeschool Academy,Grades 1-5,$149,Elementary earth science curriculum for ages 6-11 with video lessons and nature-friendly activities for the whole family.
Physical Science Explored Elementary,https://journeyhomeschoolacademy.com/physical-science-explored-elementary/,Journey Homeschool Academy,Grades 1-5,$149,Elementary physical science explored course with video instruction and hands-on experiments for younger learners.
Experience Astronomy (Middle & High School),https://journeyhomeschoolacademy.com/experience-astronomy/,Journey Homeschool Academy,Grades 7-12,$179-$279,Homeschool astronomy curriculum for middle and high school with engaging video lessons and hands-on instruction. Level B (students 12+) and Level C high school tracks available.
Earth Science Explored,https://journeyhomeschoolacademy.com/earth-science-explored/,Journey Homeschool Academy,Grades 6-8,$179,"Middle school earth science and geology curriculum featuring engaging videos, labs, and hands-on activities for Level B students."
Physical Science Explored,https://journeyhomeschoolacademy.com/physical-science-explored/,Journey Homeschool Academy,Grades 6-12,$179-$279,Physical science video course for middle school (Level B) and high school (Level C) with labs and activities that prepare students for advanced science.
World of Birds (Backyard Birds),https://journeyhomeschoolacademy.com/world-of-birds/,Journey Homeschool Academy,Grades 6-8,$97,Joyful 16-week middle school elective on backyard birds with hands-on science activities and minimal parent teaching load.
Marine Biology,https://journeyhomeschoolacademy.com/marine-biology/,Journey Homeschool Academy,Grades 6-8,$97,Faith-based marine biology curriculum for middle school (grades 6-8) with real academic skills and low teaching stress for parents.
Experience Biology,https://journeyhomeschoolacademy.com/experience-biology/,Journey Homeschool Academy,Grades 9-12,$279,"High school biology with online video lessons, homeschool labs, quizzes, and activities that engage students in life science from a Christian worldview."
Experience Chemistry,https://journeyhomeschoolacademy.com/experience-chemistry/,Journey Homeschool Academy,Grades 9-12,$279-$329,"High school chemistry curriculum with engaging labs, video lessons, quizzes, and hands-on activities that highlight God's order in every reaction."
Discover Physics,https://journeyhomeschoolacademy.com/discover-physics/,Journey Homeschool Academy,Grades 9-12,$279,Interactive high school physics video course covering fundamental principles and concepts without requiring parental subject expertise.
Discover Anatomy & Physiology,https://journeyhomeschoolacademy.com/discover-anatomy-physiology/,Journey Homeschool Academy,Grades 9-12,$279,High school anatomy and physiology online video course with hands-on labs and activities exploring God's design of the human body.
Equipped Bible Course,https://journeyhomeschoolacademy.com/equipped-bible-course-study/,Journey Homeschool Academy,Grades 9-12,$179,"Online homeschool Bible study curriculum for teens and high school students, designed to equip them to understand and read Scripture."
