title,website_url,source,grades_or_ages,prices_mentioned,description
$125 Promo Gift Card,https://timberdoodle.com/products/125-promo-gift-card,Timberdoodle,,$0.00,
$75 Promo Gift Card,https://timberdoodle.com/products/75-promo-gift-card,Timberdoodle,,$0.00,
(closeout) A History of US Book Four: The New Nation,https://timberdoodle.com/products/closeout-a-history-of-us-book-three-from-colonies-to-country-copy,Timberdoodle,,$4.00,A History of US Book Four: The New Nation 1789-1850 Embarking from George Washington's historic inauguration and stretching into the vibrant nineteenth ...
(closeout) Acrylic Paints Set,https://timberdoodle.com/products/acrylic-paints-set,Timberdoodle,,$10.00,Damaged and closeout items are sold as-is and are not returnable. See more details.Indulge in a treasure trove of artistic delight with STAEDTLER® 8500....
(closeout) Architecto Set,https://timberdoodle.com/products/damaged-architecto-set-1,Timberdoodle,,$8.00,"One kit teaches construction, logical analysis, perspective, and spatial logic."
(closeout) Astronomy MP3 Audiobook,https://timberdoodle.com/products/astronomy-mp3-audiobook,Timberdoodle,,$30.00,"Exploring Creation with Astronomy MP3 Audio Book on CD, one-year science curriculum for elementary students, an ideal first course for kindergarteners."
(closeout) Comfort Seat for Veer Cruiser,https://timberdoodle.com/products/veer-cruiser,Timberdoodle,,$35.00,"Often referred to as a hybrid stroller-wagon, the Veer Cruiser has a black matte airplane-grade aluminum frame with airless polyurethane wheels, so no f..."
(closeout) FinGears,https://timberdoodle.com/products/fingears,Timberdoodle,,$5.00,"Damaged and closeout items are sold as-is and are not returnable. See more details.FinGears Is there a fidget that improves dexterity, relieves stress, ..."
(closeout) For the Love of Discipline,https://timberdoodle.com/products/for-the-love-of-discipline,Timberdoodle,,$3.00,"Instead of the easier route of punishment that looks to law and is retributive, For the Love of Discipline encourages parents to look to grace. Through ..."
(closeout) Happy Cheetah Ready Workbook: Level 4,https://timberdoodle.com/products/happy-cheetah-ready-workbook-level-4,Timberdoodle,,$10.00,"Using current research in reading and how the brain learns, Happy Cheetah lays a foundation and builds slowly, using repetition to build fluency. Childr..."
(closeout) LAVA Squish n' Flow,https://timberdoodle.com/products/lava-squish-n-flow,Timberdoodle,,$3.00,"The Lava Squish N' Flow puts a mini lava-lamp-style blob fest at your fingertips. Squeeze the base, and you'll see the lava globs bounce inside the tiny..."
(closeout) Mini Bricks - The White House,https://timberdoodle.com/products/mini-bricks-the-white-house,Timberdoodle,,$69.99,"Mini Bricks - The White House kit is excellent for developing spatial reasoning, logic, attentiveness, and accuracy. Simply add a touch of glue (include..."
(closeout) Mini Castle Molds,https://timberdoodle.com/products/mini-castle-molds,Timberdoodle,,$0.00-$6.99,Your child doesn't need royal blood to rule a castle—just a handful of Mad Mattr and this mighty mold set. The Mad Mattr Mini Castle Molds come with eig...
(closeout) miniLUK Advance Higher Order Thinking Pack 2,https://timberdoodle.com/products/miniluk-advance-higher-order-thinking-pack-2,Timberdoodle,,$4.00,"miniLUK Advanced Brain Advance - Higher Thinking 2, a great thinking skills set for hands-on learners. Ideal for preschoolers and kindergarteners, homes..."
(closeout) miniLUK Concentration Pack,https://timberdoodle.com/products/miniluk-concentration-pack,Timberdoodle,,$4.00,"miniLUK Concentration Pack, a great thinking skills set for hands-on learners. Ideal for preschoolers and kindergarteners, homeschooling moms will find ..."
(closeout) miniLUK Critical Thinking Pack,https://timberdoodle.com/products/miniluk-critical-thinking-pack,Timberdoodle,,$4.00,"miniLUK Brain Challenger - Critical Thinking, a great thinking skills set for hands-on learners. Ideal for preschoolers and kindergarteners, homeschooli..."
(closeout) miniLUK Visual Perception Pack 2 (Colors and Shapes),https://timberdoodle.com/products/miniluk-visual-perception-pack-2,Timberdoodle,,$4.00,"miniLUK Visual Perception Pack 2, a great thinking skills set for hands-on learners. Ideal for preschoolers and kindergarteners, homeschooling moms will..."
(Closeout) Mixed By Me - Holographic Thinking Putty Kit,https://timberdoodle.com/products/mixed-by-me-holographic-thinking-putty-kit,Timberdoodle,,$0.00-$10.00,"Mixed By Me Thinking Putty Kit - Bounce, Stretch, Tear, Drip, Snap, Even Shatter Thinking Putty"
(closeout) Precepts of Anatomy \u0026 Physiology,https://timberdoodle.com/products/precepts-of-anatomy-and-physiology,Timberdoodle,,$10.00,"Precepts of Anatomy and Physiology will teach your older child about the interdependency of body systems bone, tissue and organs of the incredible human..."
(closeout) Premium Professor Teaches Office Super Set,https://timberdoodle.com/products/premium-professor-teaches-office-super-set,Timberdoodle,,$5.00,"Professor Teaches provides realistic, interactive, and complete training for Office 2013 and 2010, Windows, QuickBooks, Web Design, PC Security, Account..."
(closeout) Princeton Paintbrush Set of 4,https://timberdoodle.com/products/princeton-paintbrush-set-of-4,Timberdoodle,,$5.00,Damaged and closeout items are sold as-is and are not returnable. See more details.Princeton Artist Brush stands as a cornerstone in the realm of brush ...
(closeout) Scratch Animals of the World Puzzle,https://timberdoodle.com/products/scratch-animals-of-the-world-puzzle,Timberdoodle,,$10.00,Scratch Europe Animals of the World Puzzle Take an amazing expedition around the globe! This colorful 100-piece world puzzle helps kids discover which a...
(closeout) Strathmore Acrylic Pad 6x6,https://timberdoodle.com/products/strathmore-acrylic-pad-6x6,Timberdoodle,,$3.00,Damaged and closeout items are sold as-is and are not returnable. See more details.The Strathmore Acrylic Pad is 6x6 and offers 10 sheets of heavyweight...
(closeout) Usborne - My Very First Science Book,https://timberdoodle.com/products/my-very-first-science-book,Timberdoodle,,$6.00,"From defining what science is to some essential science topics like floating, senses, anatomy, botany, and space, My Very First Science Book is a skillf..."
(closeout) Who is Wearing a Hat?,https://timberdoodle.com/products/who-is-wearing-a-hat,Timberdoodle,,$2.00,Damaged and closeout items are sold as-is and are not returnable. See more details.Who’s Wearing a Hat? This endearing book by Usborne is full of age-ap...
