title,website_url,source,grades_or_ages,prices_mentioned,description
Advanced Bundle,https://www.theorytime.com/product/advanced-bundle/,Theory Time,All Ages; Music Theory,$25.90,This bundle includes: Grades 9 & 10 ONLY from the K-12 Workbook Series (2 workbooks total)
ALTO CLEF & TENOR CLEF NOTE READING Flashcards,https://www.theorytime.com/product/alto-clef-tenor-clef-note-reading-flashcards/,Theory Time,All Ages; Music Theory,$14.95,Alto Clef & Tenor Clef– 41 cards. 4 1/4″ x 5 1/2″ (for the private teacher or small group)
ANCIENT EGYPT,https://www.theorytime.com/product/ancient-egypt/,Theory Time,All Ages; Music Theory,$59.95,"Explore the mystery and magic of Ancient Egypt as you float down the Nile looking for mummies, temples and pyramids! Learn historical events studying the lifestyles and geography of this ancient civilization. Activities include a comparison of ancient and modern instruments, games, crafts, a study of hieroglyphs, an Egyptian banquet and the performance of a suggested musical (musical not included)."
Answer Sheets for 3rd and 4th Grade,https://www.theorytime.com/product/answer-sheets-for-3rd-and-4th-grade/,Theory Time,Elementary,$14.95,Answers for the Third and Fourth Grade reproducible packets. Answer Sheets for Theory Time’s Elementary Reproducible Series provide the answers teachers need for easy grading.
Answer Sheets for 5th and 6th Grade,https://www.theorytime.com/product/answer-sheets-for-5th-and-6th-grade/,Theory Time,Elementary,$14.95,Answers for the Fifth and Sixth Grade reproducible packets. Answer Sheets for Theory Time’s Elementary Reproducible Series provide the answers teachers need for easy grading.
Answer Sheets for High School 4A & 4B,https://www.theorytime.com/product/answer-sheets-for-high-school-4a-4b/,Theory Time,High School,$14.95,This packet provides answers for High School 4A & 4B. NOTE- THESE ARE NOT REPRODUCIBLE.
Answer Sheets for High School 5A & 5B,https://www.theorytime.com/product/answer-sheets-for-high-school-5a-5b/,Theory Time,High School,$14.95,This packet provides answers for High School 5A & 5B.NOTE- THESE ARE NOT REPRODUCIBLE.
"Answer Sheets for Kindergarten, 1st and 2nd Grade",https://www.theorytime.com/product/answer-sheets-for-kindergarten-1st-and-2nd-grade/,Theory Time,Kindergarten; Elementary,$14.95,"Answers for the Kindergarten, First and Second Grade reproducible packets. Answer Sheets for Theory Time’s Elementary Reproducible Series provide the answers teachers need for easy grading."
Answer Sheets for Middle School / High School 1A & 1B,https://www.theorytime.com/product/answer-sheets-for-middle-school-high-school-1a-1b/,Theory Time,Middle School; High School,$14.95,This packet provides answers to High School 1A & 1B. NOTE- THESE ARE NOT REPRODUCIBLE.
Answer Sheets for Middle School / High School 2A & 2B,https://www.theorytime.com/product/answer-sheets-for-middle-school-high-school-2a-2b/,Theory Time,Middle School; High School,$14.95,This packet provides answers for Middle School / High School 2A & 2B.NOTE- THESE ARE NOT REPRODUCIBLE.
Answer Sheets for Middle School / High School 3A & 3B,https://www.theorytime.com/product/answer-sheets-for-middle-school-high-school-3a-3b/,Theory Time,Middle School; High School,$14.95,This packet provides answers for Middle School / High School 3A & 3B. NOTE- THESE ARE NOT REPRODUCIBLE.
BATTER UP with THEORY!,https://www.theorytime.com/product/batter-up-with-theory/,Theory Time,All Ages; Music Theory,$34.95,Music Baseball Theory Board Game. Game pieces may vary.
BRONZE Level Medallion Workbook,https://www.theorytime.com/product/bronze-level-medallion-workbook/,Theory Time,All Ages; Music Theory,$16.95,"The Theory Time Medallion Series Bronze workbook covers the fundamentals of music theory. (67 pages, 17 Lessons and 6 Fun Sheets)"
CHALLENGE SHEETS for High School,https://www.theorytime.com/product/challenge-sheets-for-high-school/,Theory Time,High School,$29.95,Correlates with concepts covered in the HS 4A through 5B Reproducible Curriculum packets
"CINDERELLA, THEN AND NOW",https://www.theorytime.com/product/cinderella-then-and-now/,Theory Time,All Ages; Music Theory,$59.95,Travel back in time to Russia and study the music of Prokofiev’s Cinderella.
College Prep Bundle,https://www.theorytime.com/product/college-prep-bundle/,Theory Time,All Ages; Music Theory,$25.90,This bundle includes: Grades 11 & 12 workbooks ONLY from the K-12 Workbook Series (total of 2 workbooks)
COMBO TRIAL – 1 K-12 Workbook & 1 Video Course,https://www.theorytime.com/product/combo-trial-1-k-12-workbook-1-video-course/,Theory Time,All Ages; Music Theory,$49.95,"Stem rule, treble & bass clef note drill, ledger lines, rhythm drill, introduction to 6/8 time, triplets, intervals, major scale pattern, all major scales, circle of 5ths, drawing & naming major key signatures, triads & chords, major & minor 3rds, major & minor triads, vocabulary, ear-training, review test.(60 pages, 14 Lessons, 5 Fun Sheets)"
COMPOSERS IN TIME,https://www.theorytime.com/product/composers-in-time/,Theory Time,All Ages; Music Theory,$8.95,"Composers in Time is a quick-reference handbook of musical time periods, musical styles and composers representing each era. Pre-Baroque & Medieval, Renaissance, Baroque, Rococo, Classical, Romantic, Impressionistic and Contemporary periods are included. . . A great resource for students and teachers!"
CUSTOM-MADE ADJUSTABLE PIANO FOOTSTOOL,https://www.theorytime.com/product/custom-made-adjustable-piano-footstool/,Theory Time,All Ages; Music Theory,$119.95,"Our supplier is unable to continue making these fine footstools due to extenuating circumstances. We hope he will resume some time later this year or next. Grab one now before they are gone! Now even the smallest student can touch the floor! Five adjustable heights to use as students grow taller. Adjustable board slides in and out with ease on a felt lining. These footstools are custom built, solid, and very durable with heavy gloss coating – no pegs that break easily. A must for every piano studio and young pianist! Please note: The footstools are not built to support direct weight from standing or sitting. Flat-rate shipping does not apply to this item. A shipping surcharge is included due to the heavy weight and dimensions of this product. Dimensions: 18″ x 11″ x 11.5″ Note: Texas residents add 8.25% sales tax. Allow 30-days for shipping if necessary. THIS PRODUCT SHIPS TO US RESIDENCES ONLY. We will ship overseas, but buyer will have to pay shipping costs."
DIAMOND Level Medallion Workbook,https://www.theorytime.com/product/diamond-level-medallion-workbook/,Theory Time,All Ages; Music Theory,$19.95,The Theory Time Medallion Series Diamond workbook covers the Advanced levels of music theory.
E-Z Fit-A-Rhythm Deluxe Kit,https://www.theorytime.com/product/e-z-fit-a-rhythm-deluxe-kit/,Theory Time,All Ages; Music Theory,$38.95,Magnetic Dry-Erase Board
E-Z LARGE MAGNETIC BOARD,https://www.theorytime.com/product/e-z-large-magnetic-board/,Theory Time,All Ages; Music Theory,$96.00,"Magnetic, Dry Erase & Chalk Board Combo"
E-Z Large Vinyl “Floor” Keyboard,https://www.theorytime.com/product/e-z-large-vinyl-floor-keyboard/,Theory Time,All Ages; Music Theory,$39.95,Perfect to use with preschool and beginning music students to walk-on and play games. Rolls up for storage. 24” x 54”. Does not include reinforcements for hanging.
E-Z Magnetic Board w/ Piano/Staff/Ledger Lines,https://www.theorytime.com/product/e-z-magnetic-board-w-pianostaffledger-lines/,Theory Time,All Ages; Music Theory,$29.95,Magnetic Dry-Erase Board
E-Z Magnetic Keyboard,https://www.theorytime.com/product/e-z-magnetic-keyboard/,Theory Time,All Ages; Music Theory,$18.95,"(19” x 6.5”; covers 2 octaves) This keyboard is magnetic on the front and the back. Dry-erasable surface (You must erase marks SOON after application) – Do not leave dry erase marks on the surface for very long or it will stain. Can be extended by placing additional keyboards end to end Use large magnets (NOT INCLUDED) to name keys and show scales, etc. There is a shipping surcharge on this product due to the dimensions."
E-Z Magnetic Staff,https://www.theorytime.com/product/e-z-magnetic-staff/,Theory Time,All Ages; Music Theory,$18.95,19″ x 10″ in size. This staff is magnetic on the front and the back. Dry-erasable surface (You must erase marks SOON after application) – Do not leave dry erase marks on the surface for very long or it will stain. Can be extended by placing additional staffs end to end. Use large magnets and magnetic clefs ( NOT INCLUDED ). There is a shipping surcharge on this product due to the dimensions.
E-Z Make a Card (Large),https://www.theorytime.com/product/e-z-make-a-card-large/,Theory Time,All Ages; Music Theory,$7.50,This product is currently unavailable as it has been discontinued by E-Z Notes. Large version of Make A Card above. Includes 15 cards in a pad. 8 ½” x 11” ( 4 1/8″ x 5 1/2″ version also pictured)
E-Z Make a Card (small),https://www.theorytime.com/product/e-z-make-a-card-small/,Theory Time,All Ages; Music Theory,$4.95,"This product is currently unavailable as it has been discontinued by E-Z Notes. Make your own flashcards to teach and play games. Practice notes, intervals, key signatures, chords and finger patterns. 20 heavy-weight cards in a pad sized: 4 1/8” x 5 ½” ( 8 1/2 x 11 version also pictured)"
