title,website_url,source,grades_or_ages,prices_mentioned,description
IXL Family Membership,https://www.ixl.com/membership/family/pricing,IXL,Grades Pre-K-12,$9.95-$19.95/mo,IXL family membership for unlimited practice across subjects and grade levels.
IXL Language Arts | Learn language arts online,https://www.ixl.com/ela/literary-analysis,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Language Arts high school course: Literary Analysis.
IXL Language Arts | Learn language arts online,https://www.ixl.com/ela/grammar-and-mechanics,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Language Arts high school course: Grammar And Mechanics.
IXL Math | Learn math online,https://www.ixl.com/math/integrated-math-1,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Integrated Math 1.
IXL Math | Learn math online,https://www.ixl.com/math/integrated-math-2,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Integrated Math 2.
IXL Math | Learn math online,https://www.ixl.com/math/integrated-math-3,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Integrated Math 3.
IXL Math | Learn math online,https://www.ixl.com/math/statistics-and-probability,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Math high school course: Statistics And Probability.
IXL Science | Learn science online,https://www.ixl.com/science/pre-k,IXL,Ages 4-5,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Pre-K. Requires IXL family membership.
IXL Science | Learn science online,https://www.ixl.com/science/grade-12,IXL,Grade 12,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 12. Requires IXL family membership.
IXL Science | Learn science online,https://www.ixl.com/science/physical-science,IXL,Grades 9-12,$9.95-$19.95/mo (IXL family membership),IXL Science high school course: Physical Science.
IXL Social Studies | Learn social studies online,https://www.ixl.com/social-studies/pre-k,IXL,Ages 4-5,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Pre-K. Requires IXL family membership.
IXL Social Studies | Learn social studies online,https://www.ixl.com/social-studies/grade-9,IXL,Grade 9,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 9. Requires IXL family membership.
IXL Social Studies | Learn social studies online,https://www.ixl.com/social-studies/grade-12,IXL,Grade 12,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 12. Requires IXL family membership.
IXL | Learn 10th grade language arts,https://www.ixl.com/ela/grade-10,IXL,Grade 10,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 10. Requires IXL family membership.
IXL | Learn 11th grade language arts,https://www.ixl.com/ela/grade-11,IXL,Grade 11,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 11. Requires IXL family membership.
IXL | Learn 12th grade language arts,https://www.ixl.com/ela/grade-12,IXL,Grade 12,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 12. Requires IXL family membership.
IXL | Learn 1st grade language arts,https://www.ixl.com/ela/grade-1,IXL,Grade 1,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 1. Requires IXL family membership.
IXL | Learn 1st grade math,https://www.ixl.com/math/grade-1,IXL,Grade 1,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 1. Requires IXL family membership.
IXL | Learn 1st grade science,https://www.ixl.com/science/grade-1,IXL,Grade 1,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 1. Requires IXL family membership.
IXL | Learn 1st grade social studies,https://www.ixl.com/social-studies/grade-1,IXL,Grade 1,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 1. Requires IXL family membership.
IXL | Learn 2nd grade language arts,https://www.ixl.com/ela/grade-2,IXL,Grade 2,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 2. Requires IXL family membership.
IXL | Learn 2nd grade math,https://www.ixl.com/math/grade-2,IXL,Grade 2,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 2. Requires IXL family membership.
IXL | Learn 2nd grade science,https://www.ixl.com/science/grade-2,IXL,Grade 2,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 2. Requires IXL family membership.
IXL | Learn 2nd grade social studies,https://www.ixl.com/social-studies/grade-2,IXL,Grade 2,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 2. Requires IXL family membership.
IXL | Learn 3rd grade language arts,https://www.ixl.com/ela/grade-3,IXL,Grade 3,$9.95-$19.95/mo (IXL family membership),IXL Language Arts practice and mastery skills for Grade 3. Requires IXL family membership.
IXL | Learn 3rd grade math,https://www.ixl.com/math/grade-3,IXL,Grade 3,$9.95-$19.95/mo (IXL family membership),IXL Math practice and mastery skills for Grade 3. Requires IXL family membership.
IXL | Learn 3rd grade science,https://www.ixl.com/science/grade-3,IXL,Grade 3,$9.95-$19.95/mo (IXL family membership),IXL Science practice and mastery skills for Grade 3. Requires IXL family membership.
IXL | Learn 3rd grade social studies,https://www.ixl.com/social-studies/grade-3,IXL,Grade 3,$9.95-$19.95/mo (IXL family membership),IXL Social Studies practice and mastery skills for Grade 3. Requires IXL family membership.
