title,website_url,source,grades_or_ages,prices_mentioned,description
Best Writing Curriculum for Homeschool Students - Grades 1-12,https://essentialsinwriting.com/course-catalog/,Essentials in Writing,Grades 1-12,$15.00-$100.00,"Online or DVD, Homeschool writing curriculum for all grades & levels! Covering all requirements for writing & grammar from grade school to college!"
Essentials in Writing: 4 Core Elements to Learning Success,https://essentialsinwriting.com/essentials-in-writing/,Essentials in Writing,Grades 1-12,$15.00-$100.00,"At Essentials in Writing (EIW), we believe that the foundation of a strong education lies in more than just content—it’s about creating a flexible, dynamic"
Essentials in Literature: Literature Based Homeschool Curriculum,https://essentialsinwriting.com/essentials-in-literature/,Essentials in Writing,Grades 1-12,$15.00-$100.00,Essentials in Literature: Literature Based Homeschool Curriculum
All Essentials Bundles – Best Homeschool Writing Curriculum for Grades 1-12,https://essentialsinwriting.com/essentials-bundle/,Essentials in Writing,Grades 1-12,$15.00-$100.00,"Online or DVD, Homeschool writing curriculum for all grades & levels! Covering all requirements for writing & grammar from grade school to college!"
College App Essay Guide,https://essentialsinwriting.com/college-app-essay-guide/,Essentials in Writing,Grades 1-12,$15.00-$100.00,ONLINE CREATIVE WRITING
Essentials in Writing Level 1 Second Edition - Homeschool Writing Lessons for Ages 6-7,https://essentialsinwriting.com/level-1/,Essentials in Writing,Ages 6-7,$15.00-$139.00,"Homeschooling your elementary school student? Our Level 1 writing lessons cover beginner, intermediate and advanced levels. EIW is a Cathy Duffy Top Pick!"
High School Literature Curriculum | Level 10 | Homeschool Online,https://essentialsinwriting.com/level-10-literature/,Essentials in Writing,Grades 1-12,$15.00-$229.00,"Online homeschool literature curriculum for high schoolers. Meeting level 10 writing standards in grammar, composition, essay writing and literature."
High School Writing Curriculum | Level 10 | Homeschool Online,https://essentialsinwriting.com/level-10-se-2/,Essentials in Writing,Grades 1-12,$15.00-$229.00,"Online homeschool writing curriculum for high schoolers. Meeting level 10 writing standards in grammar, composition, essay writing and literature."
College Prep Literature Curriculum | Level 11 | Online Homeschool,https://essentialsinwriting.com/level-11-literature/,Essentials in Writing,Grades 1-12,$15.00-$199.00,"Online homeschool literature curriculum for college prep. Meeting writing level 11 standards in grammar, composition, essay writing and literature."
Essentials in Writing Level 11 - College Prep Writing Curriculum,https://essentialsinwriting.com/level-11/,Essentials in Writing,Grades 1-12,$15.00-$199.00,"Online homeschool writing curriculum for college prep. Meeting writing level 11 standards in grammar, composition, essay writing and literature."
College Prep Writing Curriculum | Level 12 | Online Homeschool,https://essentialsinwriting.com/level-12-2/,Essentials in Writing,Grades 1-12,$15.00-$107.00,"Online homeschool writing curriculum for college prep. Meeting level 12 writing standards in grammar, composition, essay writing and literature."
College Prep Literature Curriculum | Level 11 | Online Homeschool,https://essentialsinwriting.com/level-12-literature/,Essentials in Writing,Grades 1-12,$15.00-$199.00,"Online homeschool literature curriculum for college prep. Meeting writing level 11 standards in grammar, composition, essay writing and literature."
Essentials in Writing Level 2 Second Edition - Homeschool Writing Lessons for Ages 7-8,https://essentialsinwriting.com/level-2/,Essentials in Writing,Ages 7-8,$15.00-$139.00,"Starting homeschooling early? EIW helps your student learn the fundamentals of writing, giving them a jumpstart with level 2 writing curriculum."
Essentials in Writing Level 3 Second Edition - Homeschool Writing Lessons for Ages 8-9,https://essentialsinwriting.com/level-3/,Essentials in Writing,Ages 8-9,$15.00-$139.00,"Online homeschooling level 3 writing curriculum can seem hard at times! But we’re here to help, we try focus on the fundamentals and most importantly the students success!"
Essentials in Writing Level 4 Second Edition - Homeschool Writing Lessons for Ages 9-10,https://essentialsinwriting.com/level-4/,Essentials in Writing,Ages 9-10,$15.00-$139.00,Students aged 9-10 need a more advanced approached toward online homeschooling and writing! We can help fill that gap!
