title,website_url,source,grades_or_ages,prices_mentioned,description
CLT3-8,https://www.cltexam.com/tests/clt3-8/,Classic Learning Test,Grades 3-8,,CLT3-8 exams assess language arts and mathematics with content designed to engage students' imaginations and problem-solving skills.
CLT3-8 in School,https://www.cltexam.com/tests/clt3-8-in-school/,Classic Learning Test,Grades 3-8,$19.50,Schools can administer CLT3-8 exams online or on paper to assess their students' growth in language arts and mathematics.
CLT3-8 at Home,https://www.cltexam.com/tests/clt3-8-at-home/,Classic Learning Test,Grades 3-8,$39.00,"Parents can administer CLT3-8 exams online at home to assess their children's growth in reading, writing, grammar, and mathematics."
Administering CLT3-8 in School,https://www.cltexam.com/tests/clt3-8-in-school-administration/,Classic Learning Test,Grades 3-8,,Find answers to common questions and further details about the process for administering CLT3-8 exams at your school.
Administering CLT3-8 at Home,https://www.cltexam.com/tests/clt3-8-at-home-administration/,Classic Learning Test,Grades 3-8,,"Find answers to common questions and further instructions about administering the at-home, online version of our CLT3-8 exams."
CLT3-6 Exams,https://www.cltexam.com/tests/clt3-6/,Classic Learning Test,Grades 3-6,$39.00,"The CLT3, 4, 5, and 6 serve as diagnostic and summative exams for 3rd-6th graders, assessing reading, grammar, writing, and math."
Research & Reports,https://www.cltexam.com/tests/research-reports/,Classic Learning Test,12Th Grade,,"Dig Deeper Into CLT’s Assessments Our exams for 3rd-12th grade are backed by in-depth research and psychometrics, detailed in our Technical Reports, Norm Referencing Reports, and more. Find information and data below regarding test development, scaling, scoring, reliability, and validity. General CLT & CLT10 Assessment"
Understanding Remote Proctoring,https://www.cltexam.com/tests/remote-proctoring/,Classic Learning Test,Grades 3-12,,"Understand the format and requirements for the remotely proctored CLT or CLT10, which students can take online from home."
Test Day Expectations,https://www.cltexam.com/tests/test-days/,Classic Learning Test,Grades 3-12,,Everything you need to be prepared on test day to take the Classic Learning Test (CLT). Includes system requirements for online tests.
Authors,https://www.cltexam.com/tests/authors/,Classic Learning Test,Grades 3-12,,Review our author bank for recommended classical reads as you prepare for the Classic Learning Test (CLT).
Test Results & Analytics,https://www.cltexam.com/tests/results/,Classic Learning Test,Grades 3-12,,"Learn when scores are released for CLT exams, how to submit your scores to colleges, and what you can expect on our analytics reports."
Example Test,https://www.cltexam.com/tests/example-test/,Classic Learning Test,Grades 3-12,,See what is inside the Classic Learning Test (CLT) by answering a few questions from a CLT example test.
Official CLT Student Guide,https://www.cltexam.com/tests/student-guide/,Classic Learning Test,Grades 3-12,,"Looking to improve your score on the CLT? Order the CLT Student Guide, which includes 3 full-length practice tests, essay prompts, and detailed explanation."
Test Prep,https://www.cltexam.com/tests/test-prep/,Classic Learning Test,Grades 3-12,,"Looking to prepare for the CLT? Get instructions, practice test, and the official student guide for the CLT."
Practice Tests,https://www.cltexam.com/tests/practice-test/,Classic Learning Test,Grades 3-12,,"Prepare for the CLT or CLT10 by utilizing our free, online practice tests available in your student account."
CLT8,https://www.cltexam.com/tests/clt-8/,Classic Learning Test,Grade 8,$39.00,The CLT8 is an online diagnostic or summative assessment for 7th and 8th graders that can be proctored by parents at home or taken in-school.
CLT10 Exam,https://www.cltexam.com/tests/clt-10/,Classic Learning Test,Grades 9-10,$69.00,The CLT10 is an online college preparatory exam that helps 9th and 10th graders practice for the CLT and connect early with colleges.
CLT,https://www.cltexam.com/tests/clt/,Classic Learning Test,Grades 11-12,$100.00-$112.00,The CLT is an online college entrance exam for 11th and 12th graders accepted at hundreds of colleges and universities.
Home,https://www.cltexam.com/,Classic Learning Test,Grades 3-12,,Classic Learning Test (CLT) provides thoughtfully designed assessments that reflect a traditional education and offer meaningful insights.
CLT For Homeschool,https://www.cltexam.com/homeschool/,Classic Learning Test,Grades 3-12,$100.00,Learn why CLT has become the preferred assessment provider for thousands of homeschool families and co-ops.
State Homeschool Testing Requirements,https://www.cltexam.com/homeschool/state-testing-requirements/,Classic Learning Test,Grades 3-12,,CLT assessments can be used to fulfill homeschool testing requirements in many states. Explore our interactive map to learn more.
Register,https://www.cltexam.com/register/,Classic Learning Test,Grades 3-12,,"By registering for a Classic Learning Test (CLT) account, you can schedule your exam, take practice exams, and track score results."
Tests,https://www.cltexam.com/tests/,Classic Learning Test,Grades 3-12,$100.00,CLT's assessments for 3rd-12th graders provide a meaningful and comprehensive measure of students' aptitude and achievement.
Testing Accommodations,https://www.cltexam.com/testing-accommodations/,Classic Learning Test,Grades 3-12,,CLT is happy to provide testing accommodations to students with documented disabilities. Testing accommodations are individualized adaptations that ensure the test measures a student’s skills and aptitude rather than the negative effects of a person’s disability. Testing accommodations are meant to remove the barrier a
Accommodations Information for Parents and Students,https://www.cltexam.com/accommodations-information-for-parents-and-students/,Classic Learning Test,Grades 3-12,,1. Familiarize yourself with our Accommodations Deadlines. Accommodations Request Forms must be submitted at least 4 weeks before your desired test date to allow CLT sufficient time to process your request. 2. Read our Documentation Guidelines and collect documentation that supports your students’ requests and fits our
Accommodations Information for School Administrators,https://www.cltexam.com/accommodations-information-for-school-administrators/,Classic Learning Test,Grades 3-12,,"ELL Accommodations To request ELL accommodations for students testing in school, please follow the process outlined here . To request ELL accommodations for students testing remotely proctored, please follow the process outlined below. To Request Accommodations 1. Familiarize yourself with our Accommodations Deadlines "
Comparison,https://www.cltexam.com/compare/,Classic Learning Test,Grades 8-12,,"How does the CLT compare with other college entrance exams? See how CLT measures up to the SAT® and ACT®, including scoring comparisons."
CLT vs. SAT,https://www.cltexam.com/compare/clt-vs-sat/,Classic Learning Test,Grades 8-12,$14.00-$112.00,How does the CLT compare with the SAT®? Compare scores using our score concordance table and understand key differences in format and content.
CLT vs. ACT,https://www.cltexam.com/compare/clt-vs-act/,Classic Learning Test,Grades 8-12,$19.00-$211.50,How does the CLT compare with the ACT®? Compare scores using our score concordance table and understand key differences in format and content.
CLT10 vs PSAT,https://www.cltexam.com/compare/clt-10-vs-psat/,Classic Learning Test,Grades 9-10,,How does the CLT10 compare with the PSAT®? Compare scores using our concordance table and understand key differences in format and content.
Scholarships,https://www.cltexam.com/scholarships/,Classic Learning Test,Grades 9-12,$100.00-$500.00,See available scholarships based on your CLT score. Offered by partner colleges & universities that accept CLT.
Frequently Asked Questions,https://www.cltexam.com/faqs/,Classic Learning Test,Grades 3-12,$39.00-$112.00,Find answers to the most common questions about the suite of assessments offered by the Classic Learning Test (CLT).
Financial Assistance Request Form,https://www.cltexam.com/financial-assistance-request-form/,Classic Learning Test,Grades 3-12,,This form is required for financial assistance up to a full fee waiver for any of the CLT suite of assessments.
For Higher Ed,https://www.cltexam.com/higher-ed/,Classic Learning Test,Grades 11-12,,Learn how colleges and universities can partner with CLT to accept our college entrance exam and grow their enrollment.
Colleges,https://www.cltexam.com/colleges/,Classic Learning Test,Grades 11-12,,"Discover the over 350 colleges and universities that accept the CLT, recruit CLT test-takers, and offer score-related scholarships."
College Score Share Rankings,https://www.cltexam.com/score-share-rankings/,Classic Learning Test,Grades 11-12,,"Discover the most popular Partner Colleges among CLT students, ranked by the number of scores students have shared."
CLT10 Student Awards,https://www.cltexam.com/student-awards/,Classic Learning Test,Grades 9-10,,"Each year, Classic Learning Test recognizes top performers on the CLT10, our college preparatory exam and alternative to the PSAT and PreACT."
CLT for U.S. Military Service Academies,https://www.cltexam.com/serviceacademies/,Classic Learning Test,Grades 11-12,,"The Classic Learning Test will officially be accepted for admissions by U.S. Service Academies, beginning with the 2027 Admissions Cycle. Students who apply for U.S. Service Academies can begin submitting their test scores in February of 2026."
CLT in Florida,https://www.cltexam.com/clt-florida/,Classic Learning Test,Grades 3-12,,"Florida students can use CLT scores to apply to Florida state universities, earn Bright Futures scholarships, and more."
Parental Choice Programs,https://www.cltexam.com/parental-choice-programs/,Classic Learning Test,Grades 3-12,,CLT partners with parental choice programs across the United States to give families increased access to our assessments.
