title,website_url,source,grades_or_ages,prices_mentioned,description
Beginner Writing Workshop,https://www.writeathome.com/beginner-writing-workshop,WriteAtHome,Grades 6-12,$199.00,
Courses and Prices,https://www.writeathome.com/courses-and-prices,WriteAtHome,Grades 6-12,$99.00-$950.00,
High School History Courses,https://www.writeathome.com/courses-history-hs,WriteAtHome,Grades 6-12,$149.00-$579.00,"WriteAtHome offers two high school history tracks, one a classical, chronological approach and the other one follows a track followed by most schools."
HIgh School Literature Courses,https://www.writeathome.com/courses-literature-hs,WriteAtHome,Grades 6-12,$249.00-$579.00,WriteAtHome® literature courses are geared for students in sixth through twelfth grades
Middle School Literature Courses,https://www.writeathome.com/courses-literature-ms,WriteAtHome,Grades 6-12,$249.00-$579.00,WriteAtHome offers a fantastic middle school literature course to get students ready for the Great Books and an exciting new World Lit course that exposes students to works outside the Western Tradition.
High School Writing Courses Main,https://www.writeathome.com/courses-writing-hs,WriteAtHome,Grades 6-12,$199.00-$579.00,"WriteAtHome®courses are geared for students in fourth through twelfth grades and come in three lengths: 32-week annual courses, 16-week semester courses, and 8-week workshops."
Middle School Writing Courses,https://www.writeathome.com/courses-writing-ms,WriteAtHome,Grades 6-12,$199.00-$579.00,"WriteAtHome®courses are geared for students in fourth through twelfth grades and come in three lengths: 32-week annual courses, 16-week semester courses, and 8-week workshops."
English Language Arts Classes,https://www.writeathome.com/courses/ela,WriteAtHome,Grades 6-12,$579.00,"We’re excited to offer complete English Language Arts classes for fourth and fifth graders this year. Each class will meet online once a week for an hour, and students will be given work to complete at home."
MS History Courses Main,https://www.writeathome.com/courses/history,WriteAtHome,Grades 6-12,Contact for pricing,"Middle School online history courses for homeschoolers, charter schools from WriteAtHome.com"
"High School Writing 2, Annual",https://www.writeathome.com/high-school-writing-2-annual,WriteAtHome,Grades 6-12,$579.00,"This thirty-two week writing class includes a timed essay, a research paper and essay writing. The class is ideal for the college-bound student. The first semester includes a variety of writing assignments that cover all four major modes of writing: narrative, descriptive, expository, and persuasive. The second semester of the course focuses on the two kinds of writing that are most important at the college level: research papers and formal, persuasive essays."
