title,website_url,source,grades_or_ages,prices_mentioned,description
10th Grade English,https://learningstore.k12.com/products/english-10,K12 (Stride),10Th Grade,$100.00-$600.00,"10th Grade English includes engaging and interactive instruction about reading, writing, speaking and listening, and language, with a focus on exploring a wide variety of genres and their elements. Students learn how to carefully read, interpret, and analyze literature and nonfiction works of cultural or historical sig"
10th Grade English - Credit Recovery,https://learningstore.k12.com/products/english-10-cr,K12 (Stride),10Th Grade,$100.00-$600.00,"10th Grade English - Credit Recovery is a flexible online course designed for students who need to retake the course, catch up to classmates, or earn the credits necessary to graduate on time. The course includes engaging and interactive instruction about reading, writing, speaking and listening, and language, with a f"
10th Grade English - Honors,https://learningstore.k12.com/products/english-10-honors,K12 (Stride),10Th Grade,$100.00-$600.00,"10th Grade English - Honors is a challenging program that includes engaging and interactive instruction about reading, writing, speaking and listening, and language, with a focus on exploring a wide variety of genres and their elements. Students learn how to carefully read, interpret, and analyze literature and nonfict"
10th Grade Intensive Reading,https://learningstore.k12.com/products/intensive-reading-10,K12 (Stride),10Th Grade,$100.00-$600.00,"10th Grade Intensive Reading is designed for students reading below grade level, providing them with the essential skills to succeed. Each lesson is rooted in the latest methods for improving reading skills through engaging direct instruction and practice. This course includes frequent assessments to monitor progress a"
11th Grade Intensive Reading,https://learningstore.k12.com/products/intensive-reading-11,K12 (Stride),11Th Grade,$100.00-$600.00,"11th Grade Intensive Reading is designed for students reading below grade level, providing them with the essential skills to succeed. Each lesson is rooted in the latest methods for improving reading skills through engaging direct instruction and practice. The course includes frequent assessments to monitor progress an"
12th Grade Intensive Reading,https://learningstore.k12.com/products/intensive-reading-12,K12 (Stride),12Th Grade,$100.00-$600.00,"12th Grade Intensive Reading is designed for students reading below grade level , providing them with the essential skills to succeed. Each lesson is rooted in the latest methods for improving reading through engaging direct instruction and practice. Students read and analyze a diverse range of fictional and informatio"
1st Grade Art,https://learningstore.k12.com/products/art-1,K12 (Stride),1St Grade,$200.00-$630.00,"1st Grade Art introduces students to the world of art and architecture. Students learn about paintings and sculptures —some that look realistic and others that look imaginary—and discover how artists use lines, shapes, colors, patterns, textures, symmetry, and forms in portrait, landscape, and still life artworks. Stud"
1st Grade English Language Arts,https://learningstore.k12.com/products/english-language-arts-1,K12 (Stride),1St Grade,$200.00-$780.00,"1st Grade English Language Arts includes two courses— ELA 1 and Phonics 1 —that provide a comprehensive approach to literacy. The program integrates phonics, reading, writing, grammar, vocabulary, spelling, and handwriting to help students build strong foundational skills. Students develop comprehension, expand their v"
1st Grade Fitness and Health,https://learningstore.k12.com/products/fitness-and-health-1,K12 (Stride),1St Grade,$200.00-$600.00,"1st Grade Fitness and Health introduces students to the basics of how their bodies grow and function. The course covers health resources and explores how media can influence health, with lessons on nutrition, healthy habits, mental health and wellness, exercise and activity, injury and violence prevention, and safety. "
1st Grade Math,https://learningstore.k12.com/products/math-1,K12 (Stride),1St Grade,$200.00-$650.00,"1st Grade Math builds on foundational math skills through a combination of engaging teacher-led instruction and hands-on independent practice. Students learn using live or video lessons with virtual manipulatives, demonstrations using physical tools, and songs to reinforce key concepts. Independent activities allow stu"
1st Grade Music,https://learningstore.k12.com/products/music-1,K12 (Stride),1St Grade,$200.00-$600.00,"1st Grade Music offers a variety of learning activities that include singing, dancing, body percussion, and authentic sound recordings to explore and build foundational musical skills. The course is organized into six units: Music and Rhythm, Notation and Form, Singing and Timbre, Instruments and Families, Expression a"
